run_accession	sample_accession	collection_date	fastq_ftp	country
SRR11494492	SAMN14546682	2020-03-18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/092/SRR11494492/SRR11494492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/092/SRR11494492/SRR11494492_2.fastq.gz	Australia: Victoria
SRR11494495	SAMN14546679	2020-03-18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/095/SRR11494495/SRR11494495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/095/SRR11494495/SRR11494495_2.fastq.gz	Australia: Victoria
SRR11494500	SAMN14546675	2020-03-18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/000/SRR11494500/SRR11494500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/000/SRR11494500/SRR11494500_2.fastq.gz	Australia: Victoria
SRR11494502	SAMN14546673	2020-03-07	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/002/SRR11494502/SRR11494502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/002/SRR11494502/SRR11494502_2.fastq.gz	Australia: Victoria
SRR11494505	SAMN14546670	2020-03-18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/005/SRR11494505/SRR11494505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/005/SRR11494505/SRR11494505_2.fastq.gz	Australia: Victoria
SRR11494506	SAMN14546669	2020-03-18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/006/SRR11494506/SRR11494506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/006/SRR11494506/SRR11494506_2.fastq.gz	Australia: Victoria
SRR11494507	SAMN14546668	2020-03-18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/007/SRR11494507/SRR11494507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/007/SRR11494507/SRR11494507_2.fastq.gz	Australia: Victoria
SRR11494509	SAMN14546667	2020-03-18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/009/SRR11494509/SRR11494509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/009/SRR11494509/SRR11494509_2.fastq.gz	Australia: Victoria
SRR11494514	SAMN14546662	2020-03-18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/014/SRR11494514/SRR11494514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/014/SRR11494514/SRR11494514_2.fastq.gz	Australia: Victoria
SRR11494516	SAMN14546660	2020-03-17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/016/SRR11494516/SRR11494516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/016/SRR11494516/SRR11494516_2.fastq.gz	Australia: Victoria
SRR11494518	SAMN14546658	2020-03-17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/018/SRR11494518/SRR11494518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/018/SRR11494518/SRR11494518_2.fastq.gz	Australia: Victoria
SRR11494524	SAMN14546653	2020-03-17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/024/SRR11494524/SRR11494524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/024/SRR11494524/SRR11494524_2.fastq.gz	Australia: Victoria
SRR11494525	SAMN14546652	2020-02-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/025/SRR11494525/SRR11494525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/025/SRR11494525/SRR11494525_2.fastq.gz	Australia: Victoria
SRR11494527	SAMN14546650	2020-03-17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/027/SRR11494527/SRR11494527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/027/SRR11494527/SRR11494527_2.fastq.gz	Australia: Victoria
SRR11494528	SAMN14546649	2020-03-17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/028/SRR11494528/SRR11494528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/028/SRR11494528/SRR11494528_2.fastq.gz	Australia: Victoria
SRR11494529	SAMN14546648	2020-03-17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/029/SRR11494529/SRR11494529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/029/SRR11494529/SRR11494529_2.fastq.gz	Australia: Victoria
SRR11494530	SAMN14546603	2020-03-16	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/030/SRR11494530/SRR11494530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/030/SRR11494530/SRR11494530_2.fastq.gz	Australia: Victoria
